dep;jour;pop;T
68;2020-05-16;763204;304
69;2020-05-16;1876051;480
70;2020-05-16;233194;103
71;2020-05-16;547824;146
72;2020-05-16;560227;192
73;2020-05-16;432548;104
74;2020-05-16;828405;234
75;2020-05-16;2148271;630
76;2020-05-16;1243788;222
77;2020-05-16;1423607;445
78;2020-05-16;1448625;276
79;2020-05-16;372627;59
80;2020-05-16;569769;444
81;2020-05-16;387898;58
82;2020-05-16;262618;173
83;2020-05-16;1073836;189
84;2020-05-16;560997;46
85;2020-05-16;683187;308
86;2020-05-16;437398;133
87;2020-05-16;370774;105
88;2020-05-16;359520;47
89;2020-05-16;332096;204
90;2020-05-16;140145;36
91;2020-05-16;1319401;220
92;2020-05-16;1613762;337
93;2020-05-16;1670149;364
94;2020-05-16;1406041;332
95;2020-05-16;1248354;93
971;2020-05-16;376879;10
972;2020-05-16;358749;17
973;2020-05-16;290691;4
974;2020-05-16;859959;312
975;2020-05-16;5997;0
976;2020-05-16;279471;3
977;2020-05-16;9961;0
978;2020-05-16;35334;47
01;2020-05-17;656955;32
02;2020-05-17;526050;62
03;2020-05-17;331315;44
04;2020-05-17;165197;19
05;2020-05-17;141756;15
06;2020-05-17;1079396;128
07;2020-05-17;326875;21
08;2020-05-17;265531;27
09;2020-05-17;152398;6
10;2020-05-17;309907;10
11;2020-05-17;372705;36
12;2020-05-17;278360;13
13;2020-05-17;2034469;381
14;2020-05-17;691453;163
15;2020-05-17;142811;5
16;2020-05-17;348180;16
17;2020-05-17;647080;15
18;2020-05-17;296404;10
19;2020-05-17;240336;18
21;2020-05-17;532886;66
22;2020-05-17;596186;65
23;2020-05-17;116270;7
24;2020-05-17;408393;21
25;2020-05-17;539449;71
26;2020-05-17;520560;18
27;2020-05-17;600687;38
28;2020-05-17;429425;3
29;2020-05-17;906554;53
2A;2020-05-17;162421;23
2B;2020-05-17;182258;18
30;2020-05-17;748468;146
31;2020-05-17;1400935;139
32;2020-05-17;190040;27
33;2020-05-17;1633440;158
34;2020-05-17;1176145;151
35;2020-05-17;1082073;72
36;2020-05-17;217139;3
37;2020-05-17;605380;81
38;2020-05-17;1264979;91
39;2020-05-17;257849;31
40;2020-05-17;411979;13
41;2020-05-17;327835;18
42;2020-05-17;764737;22
43;2020-05-17;226901;6
44;2020-05-17;1437137;81
45;2020-05-17;682890;160
46;2020-05-17;173166;10
47;2020-05-17;330336;16
48;2020-05-17;76286;15
49;2020-05-17;815881;57
50;2020-05-17;490669;47
51;2020-05-17;563823;25
52;2020-05-17;169250;1
53;2020-05-17;305365;13
54;2020-05-17;730398;75
55;2020-05-17;181641;7
56;2020-05-17;755566;64
57;2020-05-17;1035866;77
58;2020-05-17;199596;13
59;2020-05-17;2588988;83
60;2020-05-17;825077;186
61;2020-05-17;276903;50
62;2020-05-17;1452778;50
63;2020-05-17;660240;65
64;2020-05-17;683169;41
65;2020-05-17;226839;21
66;2020-05-17;479000;16
67;2020-05-17;1132607;115
68;2020-05-17;763204;45
69;2020-05-17;1876051;248
70;2020-05-17;233194;27
71;2020-05-17;547824;68
72;2020-05-17;560227;74
73;2020-05-17;432548;39
74;2020-05-17;828405;51
75;2020-05-17;2148271;376
76;2020-05-17;1243788;131
77;2020-05-17;1423607;165
78;2020-05-17;1448625;97
79;2020-05-17;372627;25
80;2020-05-17;569769;101
81;2020-05-17;387898;72
82;2020-05-17;262618;62
83;2020-05-17;1073836;37
84;2020-05-17;560997;33
85;2020-05-17;683187;122
86;2020-05-17;437398;6
87;2020-05-17;370774;81
88;2020-05-17;359520;16
89;2020-05-17;332096;55
90;2020-05-17;140145;28
91;2020-05-17;1319401;118
